Nr,Gebiet,AfD Zweitstimmen
251,Augsburg-Stadt,25826
252,Augsburg-Land,38629
253,Donau-Ries,36829
254,Neu-Ulm,41290
255,Memmingen – Unterallgäu,31392
256,Oberallgäu,33443
257,Ostallgäu,27513
258,Stuttgart I,14421
259,Stuttgart II,19979
260,Böblingen,35769
261,Esslingen,22298
262,Nürtingen,31028
263,Göppingen,33280
264,Waiblingen,34225
265,Ludwigsburg,30246
266,Neckar-Zaber,39634
267,Heilbronn,49241
268,Schwäbisch Hall – Hohenlohe,46424
269,Backnang – Schwäbisch Gmünd,33901
270,Aalen – Heidenheim,41367
271,Karlsruhe-Stadt,22678
272,Karlsruhe-Land,33394
273,Rastatt,36771
274,Heidelberg,22414
275,Mannheim,26735
276,Odenwald – Tauber,40150
277,Rhein-Neckar,33687
278,Bruchsal – Schwetzingen,36181
279,Pforzheim,43959
280,Calw,41611
281,Freiburg,20285
282,Lörrach – Müllheim,33961
283,Emmendingen – Lahr,35309
284,Offenburg,36363
285,Rottweil – Tuttlingen,43401
286,Schwarzwald-Baar,30953
287,Konstanz,31136
288,Waldshut,27607
289,Reutlingen,34596
290,Tübingen,27676
291,Ulm,36448
292,Biberach,33316
293,Bodensee,27290
294,Ravensburg,29900
295,Zollernalb – Sigmaringen,38796
296,Saarbrücken,29681
297,Saarlouis,35421
298,St. Wendel,29391
299,Homburg,34801
